Product ID,Product Name,Brand,Price (SAR),Currency,Source Site,Source Category,Product URL,Image URL,Gender Target,Age Group,Interest Category,Occasion,Recipient Type,Price Tier,Luxury Level,Recommendation Tags,Data Quality,Source File,Category,Sub Category,Gift Type,Description
GIFT-28427,Arabic Bhebbak Rose Gold Ring,Bil Arabi,2700.0,SAR,Ounass,Jewellery,https://en-saudi.ounass.com/shop-bil-arabi-arabic-bhebbak-rose-gold-ring-for-women-213054730_206.html,"https://ounass-sa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/213054730_pink-gold_in.jpg?ts=1600876708.418",Female,Teen–Adult,Jewelry & Watches,Birthday | Anniversary | Graduation | General / Any Occasion,Her,"SAR 1,500+",Luxury,"Jewelry & Watches | Female | Teen–Adult | Birthday | Anniversary | Graduation | General / Any Occasion | Her | SAR 1,500+",Complete,ounas-jewellery.csv,Jewelry & Watches,Jewellery,Fashion Accessory,"Arabic Bhebbak Rose Gold Ring by Bil Arabi is a fashion accessory in the jewellery subcategory, suited to her, available from Ounass."
GIFT-31643,Trilogie Allure Forever Bangle in 18kt Yellow Gold,SARTORO,90700.0,SAR,Ounass,Jewellery,https://en-saudi.ounass.com/shop-sartoro-trilogie-allure-forever-bangle-in-18kt-yellow-gold-for-women-218507388_205.html,"https://ounass-sa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/218507388_y-gold_in.jpg?ts=1748956122.1651",Female,Teen–Adult,Arts & Crafts,Birthday | Anniversary | Graduation | General / Any Occasion,Her,"SAR 1,500+",Luxury,"Arts & Crafts | Female | Teen–Adult | Birthday | Anniversary | Graduation | General / Any Occasion | Her | SAR 1,500+",Complete,ounas-jewellery.csv,Arts & Crafts,Jewellery,Single Product,"Trilogie Allure Forever Bangle in 18kt Yellow Gold by SARTORO is a single product in the jewellery subcategory, suited to her, available from Ounass."
GIFT-37911,Maureen 45 Mules in Lace & Nappa,Malone Souliers,3460.0,SAR,Ounass,Shoes,https://en-saudi.ounass.com/shop-malone-souliers-maureen-45-mules-in-lace-nappa-for-women-217773532_26.html,"https://ounass-sa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/217773532_white_in.jpg?ts=1732813009.9039",Female,Teen–Adult,Fashion & Accessories,General / Any Occasion,Her,"SAR 1,500+",Luxury,"Fashion & Accessories | Female | Teen–Adult | General / Any Occasion | Her | SAR 1,500+",Complete,ounas-shoes.csv,Fashion & Accessories,Shoes,Single Product,"Maureen 45 Mules in Lace & Nappa by Malone Souliers is a single product in the shoes subcategory, suited to her, available from Ounass."
GIFT-41824,Touchland,,,SAR,Sephora,Best Seller Gifts,https://www.sephora.com/product/touchland-power-mist-hydrating-hand-sanitizer-P480529?skuId=2556751&icid2=products+grid%3Ap480529%3Aproduct,https://www.sephora.com/productimages/sku/s2556751-main-zoom.jpg?pb=allure-2024-bestofbeauty&imwidth=175,Unisex,All Ages,General Gifts,General / Any Occasion,Anyone,Unknown,Unknown,General Gifts | Unisex | All Ages | General / Any Occasion | Anyone | Unknown,"Missing: Price, Brand",sephora-best-seller-gifts.csv,General Gifts,Best Seller Gifts,Single Product,"Touchland is a single product in the best seller gifts subcategory, suited to anyone, available from Sephora."
GIFT-21689,LEGO® Young Simba the Lion King,,589.0,SAR,Lego,For Adults,https://lego.saudiblocks.com/saudi-en/young-simba-the-lion-king-43247,https://lego.saudiblocks.com/media/catalog/product/cache/cf3f1ff16176ca95df7b1fdb2944729c/4/3/43247_P1.jpg,Unisex,Child–Teen,Toys & Games,Birthday | General / Any Occasion,Child,SAR 300-699,Premium,Toys & Games | Unisex | Child–Teen | Birthday | General / Any Occasion | Child | SAR 300-699,Missing: Brand,lego-for-adults.csv,Toys & Games,Toys,Toy / Entertainment,"LEGO® Young Simba the Lion King is a toy / entertainment in the toys subcategory, suited to child, available from Lego."
GIFT-21988,LEGO® New York Postcard,,69.0,SAR,Lego,For Kids,https://lego.saudiblocks.com/saudi-en/new-york-postcard-40519,https://lego.saudiblocks.com/media/catalog/product/cache/cf3f1ff16176ca95df7b1fdb2944729c/4/0/40519_P1.jpg,Unisex,Child–Teen,Toys & Games,Birthday | General / Any Occasion,Child,Under SAR 100,Budget,Toys & Games | Unisex | Child–Teen | Birthday | General / Any Occasion | Child | Under SAR 100,Missing: Brand,lego-for-kids.csv,Toys & Games,Toys,Toy / Entertainment,"LEGO® New York Postcard is a toy / entertainment in the toys subcategory, suited to child, available from Lego."
GIFT-26883,"Colonna Coffee Cup & Saucer in Porcelain, Set of 2",Ginori 1735,2050.0,SAR,Ounass,Gift For Her,https://en-saudi.ounass.com/shop-ginori-1735-colonna-coffee-cup-saucer-in-porcelain-set-of-2-for-home-218387363_171.html,"https://ounass-sa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/218387363_lpi_in.jpg?ts=1746089122.5812",Female,All Ages,Home & Décor,Birthday | Thank You | General / Any Occasion,Her,"SAR 1,500+",Luxury,"Home & Décor | Female | All Ages | Birthday | Thank You | General / Any Occasion | Her | SAR 1,500+",Complete,ounas-gift-for-her.csv,Home & Décor,Coffee & Tea,Gift Set / Bundle,"Colonna Coffee Cup & Saucer in Porcelain, Set of 2 by Ginori 1735 is a gift set / bundle in the coffee & tea subcategory, suited to her, available from Ounass."
GIFT-44077,بلاي-دوه مجموعة هدايا حفلات 24 علبة مع قوالب تشكيل للأطفال,,279.0,SAR,Baby Story,Baby Story - Boys,https://baby-story.com/ar/azvgNYD,https://cdn.salla.sa/qnAdW/bb2d4b4c-6d19-4aea-a01d-a64f6e89e4ad-500x500-tV9nMbRucq6yXza6JLgOnvlRcgTvRjTuOYo7rEew.jpg,Male,Child only,Toys & Games,Birthday | General / Any Occasion,Child,SAR 100-299,Affordable,Toys & Games | Male | Child only | Birthday | General / Any Occasion | Child | SAR 100-299,Complete,baby-story-boys.csv,Toys & Games,Toys,Toy / Entertainment,تطوير الحس الفني - ذكور و إناث
GIFT-36598,Georgie Nuit Loafers in Patent Leather,Gianvito Rossi,2460.0,SAR,Ounass,Shoes,https://en-saudi.ounass.com/shop-gianvito-rossi-georgie-nuit-loafers-in-patent-leather-for-women-217762358_13.html,"https://ounass-sa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/217762358_black_in.jpg?ts=1733481477.3804",Female,Teen–Adult,Fashion & Accessories,General / Any Occasion,Her,"SAR 1,500+",Luxury,"Fashion & Accessories | Female | Teen–Adult | General / Any Occasion | Her | SAR 1,500+",Complete,ounas-shoes.csv,Fashion & Accessories,Shoes,Single Product,"Georgie Nuit Loafers in Patent Leather by Gianvito Rossi is a single product in the shoes subcategory, suited to her, available from Ounass."
GIFT-24711,Large Stereo Flame Tote Bag in Lamé,Missoni,3900.0,SAR,Ounass,Bags,https://en-saudi.ounass.com/shop-missoni-large-stereo-flame-tote-bag-in-lame-for-women-219989287_1344.html,"https://ounass-sa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/219989287_multicolor_in.jpg?ts=1784646291.5091",Female,Teen–Adult,Fashion & Accessories,General / Any Occasion,Her,"SAR 1,500+",Luxury,"Fashion & Accessories | Female | Teen–Adult | General / Any Occasion | Her | SAR 1,500+",Complete,ounas-bags.csv,Fashion & Accessories,Bags & Wallets,Fashion Accessory,"Large Stereo Flame Tote Bag in Lamé by Missoni is a fashion accessory in the bags & wallets subcategory, suited to her, available from Ounass."
GIFT-29459,Fanfare Symphony Diamond Ring in 18kt Rose Gold,Garrard,53791.0,SAR,Ounass,Jewellery,https://en-saudi.ounass.com/shop-garrard-fanfare-symphony-diamond-ring-in-18kt-rose-gold-for-women-219951434_23.html,"https://ounass-sa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/219951434_pink_in.jpg?ts=1784285941.637",Female,Teen–Adult,Jewelry & Watches,Birthday | Anniversary | Graduation | General / Any Occasion,Her,"SAR 1,500+",Luxury,"Jewelry & Watches | Female | Teen–Adult | Birthday | Anniversary | Graduation | General / Any Occasion | Her | SAR 1,500+",Complete,ounas-jewellery.csv,Jewelry & Watches,Jewellery,Fashion Accessory,"Fanfare Symphony Diamond Ring in 18kt Rose Gold by Garrard is a fashion accessory in the jewellery subcategory, suited to her, available from Ounass."
GIFT-27054,"G-Timeless Quartz Watch, 38mm",Gucci,7100.0,SAR,Ounass,Gift For Her | Jewellery,https://en-saudi.ounass.com/shop-gucci-g-timeless-quartz-watch-38mm-for-unisex-219863684_25.html,"https://ounass-sa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/219863684_red_in.jpg?ts=1781801401.9566",Female,Teen–Adult,Arts & Crafts,Birthday | Anniversary | Graduation | General / Any Occasion,Her,"SAR 1,500+",Luxury,"Arts & Crafts | Female | Teen–Adult | Birthday | Anniversary | Graduation | General / Any Occasion | Her | SAR 1,500+",Complete,ounas-gift-for-her.csv,Arts & Crafts,Jewellery,Fashion Accessory,"G-Timeless Quartz Watch, 38mm by Gucci is a fashion accessory in the jewellery subcategory, suited to her, available from Ounass."
GIFT-35603,Cleo 105 Crystal-embellished Sandals in Satin,René Caovilla,6660.0,SAR,Ounass,Shoes,https://en-saudi.ounass.com/shop-rene-caovilla-cleo-105-crystal-embellished-sandals-in-satin-for-women-218452993_7762.html,"https://ounass-sa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/218357485_beige_in.jpg?ts=1745500638.5716",Female,Teen–Adult,Fashion & Accessories,General / Any Occasion,Her,"SAR 1,500+",Luxury,"Fashion & Accessories | Female | Teen–Adult | General / Any Occasion | Her | SAR 1,500+",Complete,ounas-shoes.csv,Fashion & Accessories,Shoes,Single Product,"Cleo 105 Crystal-embellished Sandals in Satin by René Caovilla is a single product in the shoes subcategory, suited to her, available from Ounass."
GIFT-02299,Urban Sport Pilot Sunglasses,Armani Exchange,450.0,SAR,Bloomingdales,For Him Gift,https://en.bloomingdales.sa/armani-exchange-urban-sport-pilot-sunglasses-ACC218961479xBrown.html,https://en.bloomingdales.sa/on/demandware.static/-/Sites-bloomingdales-master-catalog/default/dw73fc9713/sfcc-new-blm-production/2/1/8/9/6/218961487_IN.jpg,Male,Teen–Adult,Fashion & Accessories,General / Any Occasion,Him,SAR 300-699,Premium,Fashion & Accessories | Male | Teen–Adult | General / Any Occasion | Him | SAR 300-699,Complete,blooming-for-him-gift.csv,Fashion & Accessories,Accessories,Fashion Accessory,"Urban Sport Pilot Sunglasses by Armani Exchange is a fashion accessory in the accessories subcategory, suited to him, available from Bloomingdales."
GIFT-14287,Roco Lead Refill,,6.0,SAR,Jarir,Arts And Crafts,https://www.jarir.com/sa-en/roco-pencil-leads-and-accessories-642029.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=380,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/9/d/5/c/9d5c3db74b99cd23fef86be890c630eea875ce61_642029.jpg",Unisex,All Ages,Arts & Crafts,Birthday | General / Any Occasion,Anyone,Under SAR 100,Budget,Arts & Crafts | Unisex | All Ages | Birthday | General / Any Occasion | Anyone | Under SAR 100,Missing: Brand,jarir-arts-and-crafts.csv,Arts & Crafts,Arts & Crafts,Single Product,"Roco Lead Refill is a single product in the arts & crafts subcategory, suited to anyone, available from Jarir."
GIFT-47946,Hello Neighbor,Steam,61.49,SAR,Steam,PC Games,https://store.steampowered.com/app/521890/Hello_Neighbor,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/521890/308c93929a3f326131688936b7362074fa1548ec/capsule_231x87.jpg?t=1784143317,Unisex,Teen–Adult,Gaming & Tech,Birthday | Graduation | General / Any Occasion,Teen / Adult,Under SAR 100,Budget,Gaming & Tech | Unisex | Teen–Adult | Birthday | Graduation | General / Any Occasion | Teen / Adult | Under SAR 100,Complete,steam-games.csv,Gaming & Tech,PC Games,Digital Game,"Hello Neighbor, a PC game on Steam, released 8 Dec, 2017."
GIFT-44044,فيجا - مجموعة لعب الزبادي - خشب,,33.01,SAR,Baby Story,Baby Story - Boys,https://baby-story.com/ar/YggRDqO,https://cdn.salla.sa/qnAdW/TLB187FepLemgnkNYbHzFwPmElxyxJ3bNPrOwQFt.jpg,Male,Child–Teen,Toys & Games,Birthday | General / Any Occasion,Child,Under SAR 100,Budget,Toys & Games | Male | Child–Teen | Birthday | General / Any Occasion | Child | Under SAR 100,Complete,baby-story-boys.csv,Toys & Games,Toys,Toy / Entertainment,فيجا - مجموعة لعب الزبادي - خشب from Baby Story.
GIFT-24390,Gaby Vanity Bag in Quilted Lambskin,SAINT LAURENT,9400.0,SAR,Ounass,Bags,https://en-saudi.ounass.com/shop-saint-laurent-gaby-vanity-bag-in-quilted-lambskin-for-women-218746148_13.html,"https://ounass-sa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/216778247_black_in.jpg?ts=1748442800.9619",Female,Teen–Adult,Fashion & Accessories,General / Any Occasion,Her,"SAR 1,500+",Luxury,"Fashion & Accessories | Female | Teen–Adult | General / Any Occasion | Her | SAR 1,500+",Complete,ounas-bags.csv,Fashion & Accessories,Bags & Wallets,Fashion Accessory,"Gaby Vanity Bag in Quilted Lambskin by SAINT LAURENT is a fashion accessory in the bags & wallets subcategory, suited to her, available from Ounass."
GIFT-02450,Arabian Leopard,Assouline,570.0,SAR,Bloomingdales,Home Gifts,https://en.bloomingdales.sa/assouline-arabian-leopard-HOM216588614xMultiColour.html,https://en.bloomingdales.sa/on/demandware.static/-/Sites-bloomingdales-master-catalog/default/dw22444d2d/sfcc-new-blm-production/2/1/6/5/8/216588640_IN.jpg,Unisex,Adult only,Home & Décor,General / Any Occasion,Family / Home,SAR 300-699,Premium,Home & Décor | Unisex | Adult only | General / Any Occasion | Family / Home | SAR 300-699,Complete,blooming-home-gifts.csv,Home & Décor,Home Gifts,Single Product,"Arabian Leopard by Assouline is a single product in the home gifts subcategory, suited to family / home, available from Bloomingdales."
GIFT-34119,"Pro Locked Brow Gel, 7.8ml",MAC Cosmetics,151.0,SAR,Ounass,Makeup,https://en-saudi.ounass.com/shop-mac-cosmetics-pro-locked-brow-gel-7-8ml-for-women-217350043_242.html,"https://ounass-sa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/217350043_nocolor_in.jpg?ts=1715238292.6576",Female,Teen–Adult,Beauty & Self-Care,General / Any Occasion,Her,SAR 100-299,Affordable,Beauty & Self-Care | Female | Teen–Adult | General / Any Occasion | Her | SAR 100-299,Complete,ounas-makeup.csv,Beauty & Self-Care,Makeup,Beauty / Self-Care Gift,"Pro Locked Brow Gel, 7.8ml by MAC Cosmetics is a beauty / self-care gift in the makeup subcategory, suited to her, available from Ounass."
GIFT-23518,Suri Double Band Ring,Heaven Mayhem,700.0,SAR,Ounass,Accessories,https://en-saudi.ounass.com/shop-heaven-mayhem-suri-double-band-ring-for-women-219747110_248.html,"https://ounass-sa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/219747110_gold_in.jpg?ts=1785191559.1557",Female,Teen–Adult,Jewelry & Watches,Birthday | Anniversary | Graduation | General / Any Occasion,Her,"SAR 700-1,499",Premium,"Jewelry & Watches | Female | Teen–Adult | Birthday | Anniversary | Graduation | General / Any Occasion | Her | SAR 700-1,499",Complete,ounas-accessories.csv,Jewelry & Watches,Jewellery,Fashion Accessory,"Suri Double Band Ring by Heaven Mayhem is a fashion accessory in the jewellery subcategory, suited to her, available from Ounass."
GIFT-46670,Gothic 1 Remake,Steam,127.99,SAR,Steam,PC Games,https://store.steampowered.com/app/1297900/Gothic_1_Remake,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1297900/65bac0ffa9e365a6591c984c1dd6273ccf502665/capsule_231x87.jpg?t=1782739446,Unisex,Teen–Adult,Gaming & Tech,Birthday | Graduation | General / Any Occasion,Teen / Adult,SAR 100-299,Affordable,Gaming & Tech | Unisex | Teen–Adult | Birthday | Graduation | General / Any Occasion | Teen / Adult | SAR 100-299,Complete,steam-games.csv,Gaming & Tech,PC Games,Digital Game,"Gothic 1 Remake, a PC game on Steam, released 5 Jun, 2026."
GIFT-22559,Daup Beaded Anklet in Gold-plated Brass,Mon Reve,275.0,SAR,Ounass,Accessories,https://en-saudi.ounass.com/shop-mon-reve-daup-beaded-anklet-in-gold-plated-brass-for-women-219564629_14.html,"https://ounass-sa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/219564629_blue_in.jpg?ts=1777279357.1001",Female,Teen–Adult,Fashion & Accessories,Housewarming | Wedding | General / Any Occasion,Her,SAR 100-299,Affordable,Fashion & Accessories | Female | Teen–Adult | Housewarming | Wedding | General / Any Occasion | Her | SAR 100-299,Complete,ounas-accessories.csv,Fashion & Accessories,Kitchen & Dining,Single Product,"Daup Beaded Anklet in Gold-plated Brass by Mon Reve is a single product in the kitchen & dining subcategory, suited to her, available from Ounass."
GIFT-36517,FuelCell Rebel v5 Sneakers,New Balance,350.0,SAR,Ounass,Shoes,https://en-saudi.ounass.com/shop-new-balance-fuelcell-rebel-v5-sneakers-for-women-219145889_20.html,"https://ounass-sa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/219145889_green_in.jpg?ts=1765798416.0896",Female,Teen–Adult,Fashion & Accessories,General / Any Occasion,Her,SAR 300-699,Premium,Fashion & Accessories | Female | Teen–Adult | General / Any Occasion | Her | SAR 300-699,Complete,ounas-shoes.csv,Fashion & Accessories,Shoes,Single Product,"FuelCell Rebel v5 Sneakers by New Balance is a single product in the shoes subcategory, suited to her, available from Ounass."
GIFT-37509,Livi 65 Mules in Canvas,Jimmy Choo,4220.0,SAR,Ounass,Shoes,https://en-saudi.ounass.com/shop-jimmy-choo-livi-65-mules-in-canvas-for-women-219472528_21.html,"https://ounass-sa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/219472528_neutral_in.jpg?ts=1773237232.2459",Female,Teen–Adult,Arts & Crafts,General / Any Occasion,Her,"SAR 1,500+",Luxury,"Arts & Crafts | Female | Teen–Adult | General / Any Occasion | Her | SAR 1,500+",Complete,ounas-shoes.csv,Arts & Crafts,Shoes,Single Product,"Livi 65 Mules in Canvas by Jimmy Choo is a single product in the shoes subcategory, suited to her, available from Ounass."
GIFT-18996,Roco Brief Card Stock,,10.0,SAR,Jarir,Office,https://www.jarir.com/sa-en/roco-papers-129700.html,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=380,height=380,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/5/9/d/d/59dd515d772fae659304efdc1f9e83a419f7c607_129700.jpg",Unisex,All Ages,Office & Study,General / Any Occasion,Anyone,Under SAR 100,Budget,Office & Study | Unisex | All Ages | General / Any Occasion | Anyone | Under SAR 100,Missing: Brand,jarir-office.csv,Office & Study,Office,Single Product,"Roco Brief Card Stock is a single product in the office subcategory, suited to anyone, available from Jarir."
GIFT-36128,Ecoute 70 Mules in Satin,Jeffrey Campbell,650.0,SAR,Ounass,Shoes,https://en-saudi.ounass.com/shop-jeffrey-campbell-ecoute-70-mules-in-satin-for-women-219327426_15.html,"https://ounass-sa.atgcdn.ae/small_light(dw=350,of=webp)/pub/media/catalog/product/2/1/219327426_brwn_in.jpg?ts=1782376420.4571",Female,Teen–Adult,Fashion & Accessories,General / Any Occasion,Her,SAR 300-699,Premium,Fashion & Accessories | Female | Teen–Adult | General / Any Occasion | Her | SAR 300-699,Complete,ounas-shoes.csv,Fashion & Accessories,Shoes,Single Product,"Ecoute 70 Mules in Satin by Jeffrey Campbell is a single product in the shoes subcategory, suited to her, available from Ounass."
